rank,feature,category,mean_abs_shap,impurity_importance,permutation_importance
95,Kd_490_pct_chg_5d,TREND,0.000398476394714285,10.4139995904973,2.98766573216964e-05
96,chlor_a_delta_1d,TREND,0.00036505015801814,9.08893282782745,8.36615980123026e-05
97,chlor_a_pct_chg_1d,TREND,0.000351260823290357,8.78763792060936,0.000122981860513105
98,Kd_490_slope_obs3_is_missing,TREND,0.00032022518456801,2.8197429137519,2.43614082060266e-05
99,nflh_slope_obs3_is_missing,TREND,0.000317216103143512,2.7705623665412,3.36436533821216e-05
100,Kd_490_pct_chg_1d,TREND,0.00031681601882226,7.61345854873958,0.000109806240994971
101,Kd_490_delta_5d_is_missing,TREND,0.000306411726327877,2.69318758454762,-4.38658697279926e-06
102,chlor_a_pct_chg_5d_is_missing,TREND,0.000296459007183996,2.69026433244999,-3.63273530466546e-06
103,chlor_a_delta_7d_is_missing,TREND,0.000293618663166164,2.9884215775243,3.57552791602256e-05
104,nflh_pct_chg_3d,TREND,0.000291654616912949,4.77824132204865,4.1333139383777e-05
105,nflh_delta_5d,TREND,0.000277088114608298,8.06755711055877,3.78562193070222e-05
106,Kd_490_pct_chg_5d_is_missing,TREND,0.000269972023540479,2.67605353459001,-7.41701038544673e-06
107,chlor_a_delta_5d_is_missing,TREND,0.000267542025802827,2.94262460346977,-4.30654818059972e-06
108,nflh_pct_chg_1d,TREND,0.000266608160982422,6.11699270646659,4.67112289733456e-05
109,nflh_pct_chg_5d,TREND,0.000258514386172671,9.04806601100876,6.07689302890386e-05
110,Kd_490_pct_chg_1d_is_missing,TREND,0.00025760333717171,2.08539652855927,2.68416708797381e-06
111,Kd_490_delta_1d_is_missing,TREND,0.000249860854414761,2.09164223694255,3.28603183018736e-05
112,nflh_delta_1d,TREND,0.000240223823487108,5.63149850677273,6.36826169252536e-05
113,nflh_delta_7d_is_missing,TREND,0.000237797895847098,2.60619395211443,1.5068681334232e-05
114,nflh_delta_3d,TREND,0.000236118522521819,4.71065250506562,4.62923177391672e-05
115,Kd_490_pct_chg_7d_is_missing,TREND,0.000224734742689326,2.58756984613943,1.358862094302e-05
116,Kd_490_delta_7d_is_missing,TREND,0.000223428292980424,2.36303246672673,1.22004728946763e-05
117,chlor_a_delta_1d_is_missing,TREND,0.000218333701505161,2.09661111543964,1.68446053990177e-05
118,nflh_delta_1d_is_missing,TREND,0.000211635487920232,2.07286405942967,4.59268632443144e-06
119,chlor_a_pct_chg_7d_is_missing,TREND,0.000206013008783515,2.43571146031942,-6.09812345306082e-06
120,chlor_a_pct_chg_1d_is_missing,TREND,0.000196703695275118,2.71357270143747,2.77177720865658e-05
121,nflh_delta_5d_is_missing,TREND,0.000195348452592533,2.07774108711233,1.93455147012618e-05
122,Kd_490_delta_3d_is_missing,TREND,0.000188835156420944,1.9165921402965,-5.30435178926814e-07
123,nflh_pct_chg_7d_is_missing,TREND,0.000187972551560789,2.38081476108488,7.36377901956509e-06
124,sst_slope_obs7,TREND,0.000186915587448727,4.43129393546059,2.81954393982511e-05
125,nflh_pct_chg_5d_is_missing,TREND,0.000166240109315412,2.13082648834968,3.20427475432949e-06
126,Kd_490_pct_chg_3d_is_missing,TREND,0.000143544039078863,1.47745160806107,1.13917272083337e-05
127,nflh_pct_chg_1d_is_missing,TREND,0.000140959190035801,1.9913479485767,1.58854739685665e-05
128,chlor_a_pct_chg_3d_is_missing,TREND,0.000137631232708374,1.87096026610527,4.86749374224282e-06
129,chlor_a_delta_3d_is_missing,TREND,0.000126973532129445,2.05520486703127,-2.24747309549422e-06
130,nflh_delta_3d_is_missing,TREND,0.000119419642214884,1.41824645026094,2.64172183461864e-06
131,nflh_pct_chg_3d_is_missing,TREND,0.000118820023874277,1.5910856956906,6.25846990693004e-05
132,sst_slope_obs7_is_missing,TREND,0.00010084770232264,2.15910617457512,2.38035319116015e-06
133,Kd_490_slope_obs5,TREND,6.46115476190476e-05,1.48620973276315,1.28329245073593e-05
134,chlor_a_slope_obs5,TREND,4.76505345471521e-05,1.45799493696758,3.76117007809706e-06
135,chlor_a_slope_obs5_is_missing,TREND,2.80240532379406e-05,0.791838184204026,4.88409404447787e-06
136,Kd_490_slope_obs5_is_missing,TREND,9.59916666666669e-06,0.65038397408144,4.12622119972461e-06
137,chlor_a_above10pct_consec,TREND,7.99388888888886e-06,0.567777184804121,1.16681405379766e-05
138,nflh_slope_obs5_is_missing,TREND,5.54164983164989e-06,0.365263457935035,6.19686112605367e-06
139,chlor_a_slope_obs7,TREND,4.8249999999999e-06,0.292987092421632,1.45856223688212e-06
140,Kd_490_slope_obs7_is_missing,TREND,3.49999999999995e-06,0.137778476111027,-2.60590143819073e-09
141,chlor_a_slope_obs7_is_missing,TREND,2.43055555555559e-06,0.229883868059815,1.21499000319147e-06
142,Kd_490_slope_obs7,TREND,2.00000000000006e-06,0.194925872976099,-4.90015925517451e-07
143,nflh_slope_obs5,TREND,1.87500000000002e-06,0.478522475172297,1.05963178774797e-05
144,nflh_slope_obs7,TREND,0,0.259427877038892,0
145,nflh_slope_obs7_is_missing,TREND,0,0.112159367776876,-1.12791076517293e-07
146,precip_is_placeholder,LEVEL,0,0,0
147,salinity_is_placeholder,LEVEL,0,0,0
148,state_fips,LEVEL,0,0.0402837923450521,0
149,wind_is_placeholder,LEVEL,0,0,0
