horizon,split,model,recall,pr_auc,roc_auc,precision,f1,fnr,accuracy,n_test,n_train,n_pos,tp,fp,fn,tn,pos_rate_train,prec_at_recall80
7,temporal,arm_b_richpers,,0.4692,0.8707,,,,,21323,34239,1923,,,,,,0.3127
7,random,arm_a,,0.5518,0.9168,,,,,11127,44502,840,,,,,,0.333
7,random,arm_b,,0.6057,0.9447,,,,,11127,44502,840,,,,,,0.4439
7,random,arm_a_chlpers,,0.1902,0.6562,,,,,11127,44502,840,,,,,,0.0921
7,random,arm_b_richpers,,0.5165,0.9032,,,,,11127,44502,840,,,,,,0.3278
14,temporal,arm_a,,0.304,0.7726,,,,,21351,34227,1944,,,,,,0.1664
14,temporal,arm_b,,0.4324,0.8621,,,,,21351,34227,1944,,,,,,0.2719
14,temporal,arm_a_chlpers,,0.1041,0.5566,,,,,21351,34227,1944,,,,,,0.091
14,temporal,arm_b_richpers,,0.3807,0.8167,,,,,21351,34227,1944,,,,,,0.1619
14,random,arm_a,,0.5144,0.9,,,,,11145,44576,844,,,,,,0.2957
14,random,arm_b,,0.5631,0.9279,,,,,11145,44576,844,,,,,,0.3644
14,random,arm_a_chlpers,,0.1922,0.6566,,,,,11145,44576,844,,,,,,0.0933
14,random,arm_b_richpers,,0.4206,0.8612,,,,,11145,44576,844,,,,,,0.2313
1,temporal,gbdt_arm_a,,0.4125,0.8482,,,,,21535,34334,1972,,,,,,0.2272
1,temporal,gbdt_arm_b,,0.6208,0.9437,,,,,21535,34334,1972,,,,,,0.5069
1,temporal,gbdt_b_richpers,,0.6092,0.9317,,,,,21535,34334,1972,,,,,,0.474
1,random,gbdt_arm_a,,0.5972,0.9172,,,,,11175,44697,850,,,,,,0.3602
1,random,gbdt_arm_b,,0.6569,0.9557,,,,,11175,44697,850,,,,,,0.5199
1,random,gbdt_b_richpers,,0.5672,0.9286,,,,,11175,44697,850,,,,,,0.4124
3,temporal,gbdt_arm_a,,0.3955,0.8368,,,,,21404,34039,1970,,,,,,0.2195
3,temporal,gbdt_arm_b,,0.5783,0.934,,,,,21404,34039,1970,,,,,,0.4821
3,temporal,gbdt_b_richpers,,0.5513,0.9168,,,,,21404,34039,1970,,,,,,0.4325
3,random,gbdt_arm_a,,0.5751,0.9157,,,,,11090,44357,843,,,,,,0.3309
3,random,gbdt_arm_b,,0.6327,0.9476,,,,,11090,44357,843,,,,,,0.4639
3,random,gbdt_b_richpers,,0.5361,0.9158,,,,,11090,44357,843,,,,,,0.3711
5,temporal,gbdt_arm_a,,0.3618,0.8279,,,,,21380,34131,1929,,,,,,0.2047
5,temporal,gbdt_arm_b,,0.5603,0.9222,,,,,21380,34131,1929,,,,,,0.4376
5,temporal,gbdt_b_richpers,,0.5427,0.9126,,,,,21380,34131,1929,,,,,,0.4099
5,random,gbdt_arm_a,,0.5523,0.9041,,,,,11111,44438,838,,,,,,0.2946
5,random,gbdt_arm_b,,0.6164,0.9384,,,,,11111,44438,838,,,,,,0.4304
5,random,gbdt_b_richpers,,0.5226,0.9046,,,,,11111,44438,838,,,,,,0.3183
7,temporal,gbdt_arm_a,,0.3243,0.817,,,,,21323,34239,1923,,,,,,0.1949
7,temporal,gbdt_arm_b,,0.4709,0.8975,,,,,21323,34239,1923,,,,,,0.3554
7,temporal,gbdt_b_richpers,,0.4727,0.8867,,,,,21323,34239,1923,,,,,,0.3415
7,random,gbdt_arm_a,,0.5556,0.9111,,,,,11127,44502,840,,,,,,0.303
7,random,gbdt_arm_b,,0.6037,0.9375,,,,,11127,44502,840,,,,,,0.424
7,random,gbdt_b_richpers,,0.508,0.9047,,,,,11127,44502,840,,,,,,0.3401
14,temporal,gbdt_arm_a,,0.3256,0.7939,,,,,21351,34227,1944,,,,,,0.1731
14,temporal,gbdt_arm_b,,0.3914,0.859,,,,,21351,34227,1944,,,,,,0.257
14,temporal,gbdt_b_richpers,,0.3781,0.8403,,,,,21351,34227,1944,,,,,,0.2341
14,random,gbdt_arm_a,,0.5084,0.8911,,,,,11145,44576,844,,,,,,0.2789
14,random,gbdt_arm_b,,0.5518,0.918,,,,,11145,44576,844,,,,,,0.3385
14,random,gbdt_b_richpers,,0.3929,0.8695,,,,,11145,44576,844,,,,,,0.2349
